12Z 14 07 2017, 50.64, 12.43
00Z 15 07 2017, 10.59, 10.41
12Z 15 07 2017, 0.92, 13.59
00Z 16 07 2017, 0.00, 16.06
12Z 16 07 2017, 0.00, 21.38
00Z 17 07 2017, 40.16, 19.02
12Z 17 07 2017, 153.98, 16.27
00Z 18 07 2017, 203.98, 16.48
12Z 18 07 2017, 151.05, 17.56
00Z 19 07 2017, 8.46, 10.22
12Z 19 07 2017, 0.00, 10.00
00Z 20 07 2017, 0.00, 8.68
12Z 20 07 2017, 0.00, 8.31
00Z 21 07 2017, 0.00, 7.88
12Z 21 07 2017, 0.00, 13.09
00Z 22 07 2017, 0.00, 14.87
00Z 23 07 2017, 50.00, 15.80
12Z 23 07 2017, 25.03, 15.31
00Z 24 07 2017, 0.00, 12.79
12Z 24 07 2017, 0.00, 16.03
00Z 25 07 2017, 0.00, 15.10
12Z 25 07 2017, 49.06, 17.20
00Z 26 07 2017, 59.31, 13.92
12Z 26 07 2017, 0.00, 10.81
00Z 27 07 2017, 0.00, 14.25
12Z 27 07 2017, 45.55, 12.27
00Z 28 07 2017, 0.00, 8.39
12Z 28 07 2017, 0.00, 12.68
00Z 29 07 2017, 0.00, 12.51
12Z 29 07 2017, 39.96, 21.54
00Z 30 07 2017, 27.43, 12.88
12Z 30 07 2017, 0.74, 12.81
00Z 31 07 2017, 38.28, 14.15
12Z 31 07 2017, 40.98, 14.03
00Z 01 08 2017, 0.00, 10.74
12Z 01 08 2017, 0.00, 8.77
00Z 02 08 2017, 0.00, 11.41
12Z 02 08 2017, 0.00, 19.12
00Z 03 08 2017, 0.00, 16.36
12Z 03 08 2017, 0.11, 13.89
00Z 04 08 2017, 0.00, 14.89
12Z 04 08 2017, 201.49, 14.98
00Z 05 08 2017, 4.51, 12.18
12Z 05 08 2017, 35.31, 18.37
00Z 06 08 2017, 77.71, 12.89
12Z 06 08 2017, 101.55, 11.43
00Z 07 08 2017, 22.91, 10.92
12Z 07 08 2017, 10.27, 13.44
00Z 08 08 2017, 2.04, 12.81
12Z 08 08 2017, 0.00, 16.08
00Z 09 08 2017, 0.00, 13.16
12Z 09 08 2017, 0.00, 10.70
00Z 10 08 2017, 0.00, 18.61
12Z 10 08 2017, 182.17, 17.79
00Z 11 08 2017, 25.77, 12.37
12Z 11 08 2017, 0.00, 12.76
00Z 12 08 2017, 0.00, 9.88
12Z 12 08 2017, 0.00, 8.25
00Z 13 08 2017, 0.00, 11.18
12Z 13 08 2017, 0.00, 12.16
00Z 14 08 2017, 0.00, 21.55
12Z 14 08 2017, 0.00, 29.81
00Z 15 08 2017, 39.75, 31.72
12Z 15 08 2017, 204.98, 20.01
00Z 16 08 2017, 43.43, 12.46
12Z 16 08 2017, 166.70, 19.60
00Z 17 08 2017, 340.17, 16.58
12Z 17 08 2017, 115.73, 12.77
00Z 18 08 2017, 4.63, 10.63
12Z 18 08 2017, 10.96, 11.04
00Z 19 08 2017, 0.00, 11.56
12Z 19 08 2017, 0.00, 9.79
00Z 20 08 2017, 0.00, 9.08
12Z 20 08 2017, 0.00, 18.98
00Z 21 08 2017, 0.00, 18.99
12Z 21 08 2017, 0.00, 14.94
00Z 22 08 2017, 0.65, 12.32
12Z 22 08 2017, 30.69, 12.08
00Z 23 08 2017, 65.27, 12.33
12Z 23 08 2017, 2.76, 10.26
00Z 24 08 2017, 26.21, 11.22
12Z 24 08 2017, 4.28, 10.68
00Z 25 08 2017, 0.00, 9.59
12Z 25 08 2017, 0.51, 10.18
00Z 26 08 2017, 0.00, 8.44
12Z 26 08 2017, 44.18, 14.32
00Z 27 08 2017, 6.27, 11.38
12Z 27 08 2017, 0.00, 10.22
00Z 28 08 2017, 0.00, 10.95
12Z 28 08 2017, 13.89, 12.18
00Z 29 08 2017, 5.46, 11.09
12Z 29 08 2017, 0.49, 13.05
00Z 30 08 2017, 0.00, 11.12
12Z 30 08 2017, 0.00, 12.13
00Z 31 08 2017, 0.00, 9.48
12Z 31 08 2017, 0.00, 15.27
00Z 01 09 2017, 0.00, 13.84
12Z 01 09 2017, 0.00, 18.07
00Z 02 09 2017, 0.00, 21.87
12Z 02 09 2017, 0.00, 21.06
00Z 03 09 2017, 14.16, 11.69
12Z 03 09 2017, 175.22, 18.22
00Z 04 09 2017, 85.81, 12.15
12Z 04 09 2017, 27.79, 13.60
00Z 05 09 2017, 6.15, 12.72
12Z 05 09 2017, 13.02, 13.80
12Z 06 09 2017, 26.19, 11.98
00Z 07 09 2017, 49.54, 13.95
12Z 07 09 2017, 35.00, 16.87
00Z 08 09 2017, 10.34, 13.61
12Z 08 09 2017, 0.00, 11.03
12Z 09 09 2017, 0.00, 13.29
00Z 10 09 2017, 0.00, 19.42
12Z 10 09 2017, 0.00, 20.92
00Z 11 09 2017, 0.00, 14.37
12Z 11 09 2017, 0.00, 27.56
00Z 12 09 2017, 0.00, 21.80
12Z 12 09 2017, 41.91, 14.71
00Z 13 09 2017, 7.64, 11.86
12Z 13 09 2017, 7.50, 9.74
00Z 14 09 2017, 24.51, 17.16
12Z 14 09 2017, 53.03, 15.17
00Z 15 09 2017, 6.48, 16.55
12Z 15 09 2017, 4.97, 16.45
00Z 16 09 2017, 0.00, 7.18
12Z 16 09 2017, 0.00, 5.07
00Z 17 09 2017, 0.00, 9.31
12Z 17 09 2017, 0.00, 12.21
00Z 18 09 2017, 6.02, 20.32
12Z 18 09 2017, 59.85, 12.97
00Z 19 09 2017, 12.65, 11.31
12Z 19 09 2017, 0.00, 13.90
00Z 20 09 2017, 0.00, 13.94
12Z 20 09 2017, 0.00, 11.22
00Z 21 09 2017, 0.00, 18.79
12Z 21 09 2017, 0.00, 15.06
00Z 22 09 2017, 0.00, 14.19
12Z 22 09 2017, 39.28, 20.90
00Z 23 09 2017, 0.00, 21.92
12Z 23 09 2017, 49.30, 15.79
00Z 24 09 2017, 56.25, 14.56
12Z 24 09 2017, 0.00, 11.09
00Z 25 09 2017, 13.99, 13.44
12Z 25 09 2017, 0.00, 10.05
00Z 26 09 2017, 0.00, 17.54
12Z 26 09 2017, 0.00, 15.83
00Z 27 09 2017, 0.00, 17.27
12Z 27 09 2017, 192.65, 18.85
00Z 28 09 2017, 2.15, 12.52
12Z 28 09 2017, 35.90, 13.05
